time,mouse_x,mouse_y,button,state
0.717897891998291,1046.0,539.0,NoButton,Move
0.8251457214355469,1046.0,539.0,NoButton,Move
0.8385498523712158,1046.0,539.0,Button.left,Pressed
0.8391129970550537,1046.0,539.0,Button.left,Released
1.5094740390777588,1213.0,668.0,NoButton,Move
1.6210808753967285,1213.0,668.0,NoButton,Move
1.6326720714569092,1213.0,668.0,Button.left,Pressed
1.6333949565887451,1213.0,668.0,Button.left,Released
2.308568000793457,364.0,244.0,NoButton,Move
2.4215307235717773,364.0,244.0,NoButton,Move
2.4333250522613525,364.0,244.0,Button.left,Pressed
2.433992862701416,364.0,244.0,Button.left,Released
3.105419874191284,359.0,307.0,NoButton,Move
3.2192230224609375,359.0,307.0,NoButton,Move
3.231332778930664,359.0,307.0,Button.left,Pressed
3.2320919036865234,359.0,307.0,Button.left,Released
3.908463716506958,514.0,206.0,NoButton,Move
4.022565841674805,514.0,206.0,NoButton,Move
4.034533739089966,514.0,206.0,Button.left,Pressed
4.035135984420776,514.0,206.0,Button.left,Released
4.7209789752960205,554.0,459.0,NoButton,Move
4.833719968795776,554.0,459.0,NoButton,Move
4.8456130027771,554.0,459.0,Button.left,Pressed
4.846235752105713,554.0,459.0,Button.left,Released
5.548825740814209,1146.0,256.0,NoButton,Move
5.6631879806518555,1146.0,256.0,NoButton,Move
5.676009893417358,1146.0,256.0,Button.left,Pressed
5.676671028137207,1146.0,256.0,Button.left,Released
6.358134984970093,947.0,510.0,NoButton,Move
6.470812797546387,947.0,510.0,NoButton,Move
6.482667922973633,947.0,510.0,Button.left,Pressed
6.483320713043213,947.0,510.0,Button.left,Released
7.158257961273193,620.0,609.0,NoButton,Move
7.272380828857422,620.0,609.0,NoButton,Move
7.284252882003784,620.0,609.0,Button.left,Pressed
7.285039901733398,620.0,609.0,Button.left,Released
7.955390930175781,999.0,397.0,NoButton,Move
8.06830096244812,999.0,397.0,NoButton,Move
8.078922033309937,999.0,397.0,Button.left,Pressed
8.079725742340088,999.0,397.0,Button.left,Released
11.879450798034668,885.0,172.0,NoButton,Move
11.993011951446533,885.0,172.0,NoButton,Move
12.004672050476074,885.0,172.0,Button.left,Pressed
12.006762027740479,483.0,612.0,NoButton,Drag
12.017188787460327,483.0,612.0,NoButton,Drag
12.028483867645264,483.0,612.0,Button.left,Released
13.121077060699463,1156.0,174.0,NoButton,Move
13.23492980003357,1156.0,174.0,NoButton,Move
13.246604919433594,1156.0,174.0,Button.left,Pressed
13.247385740280151,483.0,612.0,NoButton,Drag
13.258805990219116,483.0,612.0,NoButton,Drag
13.270044803619385,483.0,612.0,Button.left,Released
14.322623014450073,610.0,169.0,NoButton,Move
14.43709683418274,610.0,169.0,NoButton,Move
14.448571920394897,610.0,169.0,Button.left,Pressed
14.449544906616211,1011.0,614.0,NoButton,Drag
14.460619926452637,1011.0,614.0,NoButton,Drag
14.47478985786438,1011.0,614.0,Button.left,Released
15.542788743972778,334.0,182.0,NoButton,Move
15.656901836395264,334.0,182.0,NoButton,Move
15.66885495185852,334.0,182.0,Button.left,Pressed
15.676220893859863,1011.0,614.0,NoButton,Drag
15.682236909866333,1011.0,614.0,NoButton,Drag
15.692839860916138,1011.0,614.0,Button.left,Released
16.615352869033813,883.0,333.0,NoButton,Move
16.729283809661865,883.0,333.0,NoButton,Move
16.740911722183228,883.0,333.0,Button.left,Pressed
16.74172592163086,1011.0,614.0,NoButton,Drag
16.753278970718384,1011.0,614.0,NoButton,Drag
16.765082836151123,1011.0,614.0,Button.left,Released
17.74881386756897,1150.0,329.0,NoButton,Move
17.861785888671875,1150.0,329.0,NoButton,Move
17.874115705490112,1150.0,329.0,Button.left,Pressed
17.87537384033203,1011.0,614.0,NoButton,Drag
17.88543677330017,1011.0,614.0,NoButton,Drag
17.89730191230774,1011.0,614.0,Button.left,Released
18.971961736679077,337.0,331.0,NoButton,Move
19.08489179611206,337.0,331.0,NoButton,Move
19.095768690109253,337.0,331.0,Button.left,Pressed
19.096486806869507,483.0,612.0,NoButton,Drag
19.108954906463623,483.0,612.0,NoButton,Drag
19.120441913604736,483.0,612.0,Button.left,Released
20.083847999572754,609.0,330.0,NoButton,Move
20.195457935333252,609.0,330.0,NoButton,Move
20.20626187324524,609.0,330.0,Button.left,Pressed
20.207055807113647,483.0,612.0,NoButton,Drag
20.218186855316162,483.0,612.0,NoButton,Drag
