Time,Key pressed,Key released
0.9549,1,None
0.96292,None,1
0.9747,2,None
0.98549,None,2
0.99723,3,None
1.00869,None,3
1.01966,Key.shift,None
1.03121,C,None
1.04217,None,Key.shift
1.05305,None,c
1.06502,Key.shift,None
1.07641,A,None
1.0884,None,Key.shift
1.09772,None,a
1.10869,Key.shift,None
1.11929,P,None
1.12976,None,Key.shift
1.13996,None,p
1.15138,a,None
1.16324,None,a
1.17367,b,None
1.18392,None,b
1.19566,c,None
1.20645,None,c
1.21861,Key.shift,None
1.22906,!,None
1.23924,None,Key.shift
1.25131,None,1
1.36264,Key.enter,None
1.37283,None,Key.enter
1.48486,1,None
1.49649,None,1
1.50675,2,None
1.51732,None,2
1.52829,3,None
1.53947,None,3
1.55165,Key.shift,None
1.56239,C,None
1.5729,None,Key.shift
1.58452,None,c
1.59509,Key.shift,None
1.60634,A,None
1.61655,None,Key.shift
1.62799,None,a
1.63879,Key.shift,None
1.65068,P,None
1.66061,None,Key.shift
1.67182,None,p
1.68316,a,None
1.69486,None,a
1.70631,b,None
1.71739,None,b
1.72936,c,None
1.74013,None,c
1.75169,Key.shift,None
1.76317,!,None
1.77439,None,Key.shift
1.78787,None,1
1.89847,Key.enter,None
1.90975,None,Key.enter
2.02192,1,None
2.03332,None,1
2.04496,2,None
2.05637,None,2
2.06795,3,None
2.07876,None,3
2.09091,Key.shift,None
2.10128,C,None
2.11283,None,Key.shift
2.12405,None,c
2.13475,Key.shift,None
2.14547,A,None
2.15631,None,Key.shift
2.1679,None,a
2.17963,Key.shift,None
2.18982,P,None
2.20023,None,Key.shift
2.21145,None,p
2.22334,a,None
2.23406,None,a
2.24562,b,None
2.25679,None,b
2.26726,c,None
2.2774,None,c
2.28909,Key.shift,None
2.29994,!,None
2.31144,None,Key.shift
2.32264,None,1
2.43331,Key.enter,None
2.44446,None,Key.enter
2.5568,1,None
2.56853,None,1
2.57998,2,None
2.59038,None,2
2.60205,3,None
2.6134,None,3
2.62482,Key.shift,None
2.63464,C,None
2.64552,None,Key.shift
2.65764,None,c
2.66783,Key.shift,None
2.67914,A,None
2.68954,None,Key.shift
2.70098,None,a
2.71261,Key.shift,None
2.72327,P,None
2.73461,None,Key.shift
2.74607,None,p
2.75672,a,None
2.76764,None,a
2.77955,b,None
2.79123,None,b
2.80303,c,None
2.81322,None,c
2.8254,Key.shift,None
2.83619,!,None
2.84704,None,Key.shift
2.8578,None,1
2.96848,Key.enter,None
2.98019,None,Key.enter
3.09022,1,None
3.10151,None,1
3.1122,2,None
3.12265,None,2
3.13412,3,None
3.14498,None,3
3.15683,Key.shift,None
3.16818,C,None
3.17883,None,Key.shift
3.18952,None,c
3.20023,Key.shift,None
3.21214,A,None
3.22281,None,Key.shift
3.23326,None,a
3.24687,Key.shift,None
3.25802,P,None
3.26916,None,Key.shift
3.27863,None,p
3.28995,a,None
3.30037,None,a
3.31229,b,None
3.32299,None,b
3.33394,c,None
3.34488,None,c
3.35649,Key.shift,None
3.36801,!,None
3.37885,None,Key.shift
3.38856,None,1
3.50094,Key.enter,None
3.51248,None,Key.enter
3.62385,1,None
3.63498,None,1
3.64825,2,None
3.65885,None,2
3.67008,3,None
3.68089,None,3
3.69247,Key.shift,None
3.70425,C,None
3.71551,None,Key.shift
3.72712,None,c
3.73926,Key.shift,None
3.75269,A,None
3.76107,None,Key.shift
3.77249,None,a
3.78272,Key.shift,None
3.79444,P,None
3.80582,None,Key.shift
3.81853,None,p
3.82855,a,None
3.83962,None,a
3.85252,b,None
3.86302,None,b
3.87384,c,None
3.88521,None,c
3.8945,Key.shift,None
3.906,!,None
3.91601,None,Key.shift
3.92736,None,1
4.03934,Key.enter,None
4.05264,None,Key.enter
4.16258,1,None
4.17319,None,1
4.18603,2,None
4.19658,None,2
4.20832,3,None
4.21885,None,3
4.22973,Key.shift,None
4.24099,C,None
4.25213,None,Key.shift
4.26333,None,c
4.2735,Key.shift,None
4.28516,A,None
4.29491,None,Key.shift
4.30583,None,a
4.31666,Key.shift,None
4.32804,P,None
4.33954,None,Key.shift
4.3518,None,p
4.36167,a,None
4.37308,None,a
4.38666,b,None
4.39728,None,b
4.40865,c,None
4.42062,None,c
4.43052,Key.shift,None
4.4408,!,None
4.45113,None,Key.shift
4.46312,None,!
4.57436,Key.enter,None
4.58803,None,Key.enter
4.69925,!,None
4.71041,None,!
4.72097,@,None
4.73221,None,@
4.74304,#,None
4.75434,None,#
4.7652,Key.shift,None
4.77591,C,None
4.78782,None,Key.shift
4.79845,None,c
4.80897,Key.shift,None
4.82032,A,None
4.83159,None,Key.shift
4.84294,None,a
4.85422,Key.shift,None
4.86513,P,None
4.87512,None,Key.shift
4.88672,None,p
4.89553,a,None
4.90651,None,a
4.91816,b,None
4.92947,None,b
4.94073,c,None
4.95174,None,c
4.96355,Key.shift,None
4.97492,!,None
4.98797,None,Key.shift
4.99761,None,1
5.11053,Key.enter,None
5.12132,None,Key.enter
5.23396,1,None
5.24507,None,1
5.25653,2,None
5.26672,None,2
5.27733,3,None
5.28744,None,3
5.29874,Key.shift,None
5.3097,C,None
5.32089,None,Key.shift
5.33195,None,c
5.34281,Key.shift,None
5.35379,A,None
5.36601,None,Key.shift
5.37624,None,a
5.38684,Key.shift,None
5.39735,P,None
5.40716,None,Key.shift
5.41781,None,p
5.42813,a,None
5.43977,None,a
5.45157,b,None
5.46185,None,b
5.47348,c,None
5.48456,None,c
5.49878,Key.shift,None
5.51007,!,None
5.52157,None,Key.shift
5.53164,None,1
5.64486,Key.enter,None
5.65627,None,Key.enter
5.7687,1,None
5.77989,None,1
5.79136,2,None
5.8018,None,2
5.81247,3,None
5.82283,None,3
5.83334,Key.shift,None
5.84595,C,None
5.85484,None,Key.shift
5.86564,None,c
5.87969,Key.shift,None
5.89004,A,None
5.90143,None,Key.shift
5.9117,None,a
5.92354,Key.shift,None
5.93443,P,None
5.94508,None,Key.shift
5.95607,None,p
5.96663,a,None
5.97871,None,a
5.98997,b,None
6.00137,None,b
6.01277,c,None
6.02311,None,c
6.03422,Key.shift,None
6.04587,!,None
6.05634,None,Key.shift
6.0672,None,1
