Key pressed,Key released,Time
1,None,1.27
None,'1',1.28
2,None,3.42
None,'2',3.43
3,None,5.57
None,'3',5.58
Key.shift,None,7.72
A,None,7.74
None,Key.shift,7.75
None,'a',7.76
Key.shift,None,9.9
B,None,9.91
None,Key.shift,9.92
None,'b',9.93
Key.shift,None,12.07
C,None,12.08
None,Key.shift,12.1
None,'c',12.11
a,None,14.25
None,'a',14.26
b,None,16.4
None,'b',16.41
c,None,18.56
None,'c',18.57
Key.shift,None,20.71
!,None,20.72
None,Key.shift,20.73
None,'1',20.74
