Key pressed,Key released,Time,Hold Time,Consecutive Press Release
P,None,37.03,,
None,P,37.14,0.10999999999999943,0.10999999999999943
None,Key.shift,37.22,0.6899999999999977,0.18999999999999773
a,None,37.43,,
None,a,37.6,0.1700000000000017,0.1700000000000017
b,None,37.79,,
None,b,37.91,0.11999999999999744,0.11999999999999744
c,None,37.96,,
None,c,38.06,0.10000000000000142,0.10000000000000142
Key.shift,None,38.39,,
!,None,38.56,,
None,Key.shift,38.65,0.259999999999998,0.0899999999999963
None,1,38.72,0.1599999999999966,0.1599999999999966
Key.enter,None,39.4,,
None,Key.enter,39.48,0.0799999999999983,0.0799999999999983
1,None,40.44,,
2,None,40.6,,
None,1,40.65,0.21000000000000085,0.04999999999999716
3,None,40.65,,
None,2,40.72,0.11999999999999744,0.07000000000000028
None,3,40.81,0.1600000000000037,0.1600000000000037
Key.shift,None,41.17,,
C,None,41.35,,
None,C,41.45,0.10000000000000142,0.10000000000000142
A,None,41.47,,
None,A,41.58,0.10999999999999943,0.10999999999999943
P,None,41.64,,
None,Key.shift,41.69,0.519999999999996,0.04999999999999716
None,p,41.73,0.0899999999999963,0.0899999999999963
a,None,42.03,,
None,a,42.16,0.12999999999999545,0.12999999999999545
b,None,42.23,,
None,b,42.34,0.11000000000000654,0.11000000000000654
c,None,42.38,,
None,c,42.5,0.11999999999999744,0.11999999999999744
Key.shift,None,43.07,,
!,None,43.28,,
None,Key.shift,43.38,0.3100000000000023,0.10000000000000142
None,1,43.44,0.1599999999999966,0.1599999999999966
Key.enter,None,44.22,,
None,Key.enter,44.32,0.10000000000000142,0.10000000000000142
1,None,45.03,,
2,None,45.18,,
None,1,45.29,0.259999999999998,0.10999999999999943
3,None,45.31,,
None,2,45.39,0.21000000000000085,0.0799999999999983
None,3,45.48,0.1699999999999946,0.1699999999999946
Key.shift,None,46.11,,
C,None,46.27,,
None,C,46.44,0.1699999999999946,0.1699999999999946
A,None,46.47,,
None,A,46.57,0.10000000000000142,0.10000000000000142
P,None,46.64,,
None,P,46.74,0.10000000000000142,0.10000000000000142
None,Key.shift,46.94,0.8299999999999983,0.29999999999999716
a,None,47.79,,
None,a,47.95,0.1600000000000037,0.1600000000000037
b,None,48.0,,
None,b,48.16,0.1599999999999966,0.1599999999999966
c,None,48.31,,
None,c,48.43,0.11999999999999744,0.11999999999999744
Key.shift,None,49.0,,
!,None,49.43,,
None,!,49.56,0.13000000000000256,0.13000000000000256
None,Key.shift,49.58,0.5799999999999983,0.14999999999999858
Key.enter,None,50.42,,
None,Key.enter,50.53,0.10999999999999943,0.10999999999999943
a,None,53.37,,
None,a,53.61,0.240000000000002,0.240000000000002
b,None,54.44,,
None,b,54.74,0.30000000000000426,0.30000000000000426
c,None,56.36,,
Key.shift,None,56.6,,
C,None,56.87,,
None,C,56.88,0.010000000000005116,0.010000000000005116
None,Key.shift,57.11,0.509999999999998,0.240000000000002
a,None,58.26,,
None,a,58.43,0.1700000000000017,0.1700000000000017
b,None,58.98,,
None,b,59.15,0.1700000000000017,0.1700000000000017
c,None,60.5,,
Key.shift,None,60.61,,
None,C,60.73,0.22999999999999687,0.11999999999999744
None,Key.shift,60.76,0.14999999999999858,0.14999999999999858
c,None,61.81,,
Key.shift,None,61.92,,
None,C,62.04,0.22999999999999687,0.11999999999999744
None,Key.shift,62.08,0.1599999999999966,0.1599999999999966
c,None,64.26,,
Key.shift,None,64.44,,
None,C,64.57,0.30999999999998806,0.12999999999999545
None,Key.shift,64.81,0.37000000000000455,0.37000000000000455
