Time,Key pressed,Key released
0.93977,1,None
0.94356,None,1
0.95525,2,None
0.96514,None,2
0.97698,3,None
0.98841,None,3
0.99999,Key.shift,None
1.01048,C,None
1.02208,None,Key.shift
1.03243,None,c
1.04484,Key.shift,None
1.05477,A,None
1.06622,None,Key.shift
1.07683,None,a
1.0892,Key.shift,None
1.10066,P,None
1.11062,None,Key.shift
1.12214,None,p
1.13367,a,None
1.145,None,a
1.15935,b,None
1.16927,None,b
1.18061,c,None
1.19216,None,c
1.20353,Key.shift,None
1.21346,!,None
1.22521,None,Key.shift
1.23644,None,1
1.34784,Key.enter,None
1.35896,None,Key.enter
1.47171,1,None
1.48175,None,1
1.49412,2,None
1.5058,None,2
1.51564,3,None
1.52708,None,3
1.53749,Key.shift,None
1.54959,C,None
1.56013,None,Key.shift
1.57004,None,c
1.58338,Key.shift,None
1.5951,A,None
1.60609,None,Key.shift
1.61613,None,a
1.6283,Key.shift,None
1.64013,P,None
1.65133,None,Key.shift
1.66251,None,p
1.67449,a,None
1.68587,None,a
1.69989,b,None
1.7108,None,b
1.72111,c,None
1.73201,None,c
1.74343,Key.shift,None
1.75505,!,None
1.76529,None,Key.shift
1.77683,None,1
1.89048,Key.enter,None
1.90087,None,Key.enter
2.01272,1,None
2.02432,None,1
2.03627,2,None
2.049,None,2
2.05811,3,None
2.06929,None,3
2.08289,Key.shift,None
2.09434,C,None
2.10565,None,Key.shift
2.11674,None,c
2.12904,Key.shift,None
2.14034,A,None
2.15108,None,Key.shift
2.16127,None,a
2.17202,Key.shift,None
2.18345,P,None
2.19453,None,Key.shift
2.20573,None,p
2.21769,a,None
2.22943,None,a
2.24063,b,None
2.2521,None,b
2.26665,c,None
2.27825,None,c
2.28924,Key.shift,None
2.30091,!,None
2.31078,None,Key.shift
2.32087,None,1
2.43393,Key.enter,None
2.44527,None,Key.enter
2.55879,1,None
2.5704,None,1
2.583,2,None
2.59411,None,2
2.6044,3,None
2.61529,None,3
2.62605,Key.shift,None
2.63721,C,None
2.64858,None,Key.shift
2.65962,None,c
2.67112,Key.shift,None
2.68252,A,None
2.69307,None,Key.shift
2.70359,None,a
2.7165,Key.shift,None
2.72828,P,None
2.73891,None,Key.shift
2.7505,None,p
2.76142,a,None
2.7727,None,a
2.78443,b,None
2.79539,None,b
2.80734,c,None
2.81874,None,c
2.83049,Key.shift,None
2.84078,!,None
2.85276,None,Key.shift
2.8665,None,1
2.97734,Key.enter,None
2.98764,None,Key.enter
3.0994,1,None
3.11077,None,1
3.12271,2,None
3.13428,None,2
3.1452,3,None
3.15672,None,3
3.16756,Key.shift,None
3.17932,C,None
3.19032,None,Key.shift
3.20121,None,c
3.21234,Key.shift,None
3.22372,A,None
3.23607,None,Key.shift
3.24546,None,a
3.25738,Key.shift,None
3.26895,P,None
3.2792,None,Key.shift
3.28974,None,p
3.30249,a,None
3.31381,None,a
3.32513,b,None
3.33586,None,b
3.34811,c,None
3.35894,None,c
3.37046,Key.shift,None
3.38092,!,None
